label	stage	budget	variant	status	pid	log_path
tworoom_rank_seed42_pct15_pca-r16_e20	branch	pct15	pca-r16	completed	102223	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct15_pca-r16_e20.log
tworoom_rank_seed42_pct15_pca-r32_e20	branch	pct15	pca-r32	completed	116204	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct15_pca-r32_e20.log
tworoom_rank_seed42_pct15_pca-r4_e20	branch	pct15	pca-r4	completed	151761	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct15_pca-r4_e20.log
tworoom_rank_seed42_pct15_pca-r8_e20	branch	pct15	pca-r8	completed	103343	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct15_pca-r8_e20.log
tworoom_rank_seed42_pct15_random-r16_e20	branch	pct15	random-r16	cancelled	151955	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct15_random-r16_e20.log
tworoom_rank_seed42_pct15_warmup	warmup	pct15		completed	7831	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct15_warmup.log
tworoom_rank_seed42_pct20_pca-r16_e20	branch	pct20	pca-r16	cancelled	154831	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct20_pca-r16_e20.log
tworoom_rank_seed42_pct20_pca-r32_e20	branch	pct20	pca-r32	cancelled	237082	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct20_pca-r32_e20.log
tworoom_rank_seed42_pct20_pca-r4_e20	branch	pct20	pca-r4	cancelled	240612	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct20_pca-r4_e20.log
tworoom_rank_seed42_pct20_pca-r8_e20	branch	pct20	pca-r8	cancelled	240613	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct20_pca-r8_e20.log
tworoom_rank_seed42_pct20_random-r16_e20	branch	pct20	random-r16	cancelled	241239	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct20_random-r16_e20.log
tworoom_rank_seed42_pct20_warmup	warmup	pct20		completed	7837	/workspace/stablewm/logs/tworoom_rank_ablation/tworoom_rank_seed42_pct20_warmup.log
